Name,Country,Days,Type,Since
Maciej Czapiewski,Poland,2088,222 single,2016-03-19
Juan Pablo Huanqui,Peru,1660,minx single,2017-05-21
Tymon Kolasiński,Poland,1458,pyram average,2017-12-09
Łukasz Burliga,Poland,1451,skewb average,2017-12-16
Max Park,USA,1423,666 average,2018-01-13
Max Park,USA,1409,666 single,2018-01-27
Max Park,USA,1332,777 average,2018-04-14
Max Park,USA,1304,444 average,2018-05-12
Max Park,USA,1289,555 single,2018-05-27
Max Park,USA,1270,555 average,2018-06-15
Dominik Górny,Poland,1262,pyram single,2018-06-23
Max Park,USA,1241,777 single,2018-07-14
Max Park,USA,1237,333oh average,2018-07-18
Yunhao Lou (娄云皓),China,1234,clock average,2018-07-21
Stanley Chapel,USA,1228,555bf single,2018-07-27
Yusheng Du (杜宇生),China,1108,333 single,2018-11-24
Stanley Chapel,USA,954,444bf single,2019-04-27
Graham Siggins,USA,925,333mbf single,2019-05-26
Sebastiano Tronto,Italy,905,333fm single,2019-06-15
Andrew Huang,Australia,879,skewb single,2019-07-11
Stanley Chapel,USA,879,444bf average,2019-07-11
Juan Pablo Huanqui,Peru,858,minx average,2019-08-01
Max Park,USA,786,333oh single,2019-10-12
Jeff Park,USA,723,333bf average,2019-12-14
Stanley Chapel,USA,722,555bf average,2019-12-15
Cale Schoon,USA,688,333fm average,2020-01-18
Martin Vædele Egdal,Denmark,458,sq1 single,2020-09-04
David Epstein,Australia,240,sq1 average,2021-04-10
Yunhao Lou (娄云皓),China,219,clock single,2021-05-01
Tommy Cherry,USA,135,333bf single,2021-07-24
Zayn Khanani,USA,127,222 average,2021-08-01
Max Park,USA,30,333 average,2021-11-06
Max Park,USA,10,444 single,2021-11-26
