Name,Country,Missed Chances
Leyan Lo,USA,5
Jean Pons,France,1
Tyson Mao (毛台勝),USA,2
Rowe Hessler,USA,1
Chris Krueger,USA,1
Rafał Guzewicz,Poland,2
Kai Jiptner,Germany,1
Danyang Chen (陈丹阳),China,1
Tim Habermaas,Germany,1
Alexander Yu,USA,3
Ville Seppänen,Finland,2
Konrad Stawski,Poland,1
Haiyan Zhuang (庄海燕),China,4
Tse-Kan Lin (林哲侃),Taiwan,1
Marcell Endrey,Hungary,5
Zane Carney,Australia,1
Francisco Javier Lemes Sáez,Chile,1
Marcin Kowalczyk,Poland,15
Grzegorz Jałocha,Poland,6
Marcin Zalewski,Poland,5
Noah Arthurs,USA,3
Sebastiano Tronto,Italy,3
Kaijun Lin (林恺俊),China,30
Gianfranco Huanqui,Peru,15
Roberto Antonio Ocmin Baráybar,Peru,1
Sreeram Venkatarao,USA,2
Jong-Ho Jeong (정종호),Korea,1
Kabyanil Talukdar,India,1
Ishaan Agrawal,USA,4
Jeff Park,USA,15
Angelo Zhang,USA,3
Max Hilliard,USA,23
Jake Klassen,Canada,12
Grigorii Alekseev,Russia,1
Ádám Barta,Hungary,2
Oto Aoyagi (青柳吟),Japan,1
Neel Gore,USA,2
Arthur Garcin,France,2
Jack Cai,Australia,10
Liam Chen,USA,1
Stanley Chapel,USA,6
Martin Vædele Egdal,Denmark,2
Daniel Lin,USA,1
Berta García Parra,Spain,2
Jakob Gunnarsson,Sweden,1
Bowen Xiao (肖博文),China,1
Tommy Cherry,USA,1
Noah Swor,USA,1
